RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Tackles', 'SOLO')","('Tackles', 'AST')","('Tackles', 'TOT')","('Sacks', 'SACK')","('Sacks', 'YDS')","('Interceptions', 'PD')","('Interceptions', 'INT')","('Interceptions', 'YDS')","('Interceptions', 'LNG')","('Interceptions', 'TD')","('Unnamed: 11_level_0', 'FF')"
211,Malik Verdon,ISU,S,34,41,75,1.0,9,5,1,38,38,0,1
211,Everett Roussaw Jr.,UAB,LB,38,37,75,3.0,22,1,0,0,0,0,0
211,Carmycah Glass,UL,LB,44,31,75,0.5,4,0,0,0,0,0,0
211,Isaiah Chisom,ORST,LB,30,45,75,0.0,0,0,0,0,0,0,1
211,Xavier Williams,MTSU,S,54,21,75,0.0,0,3,1,0,0,0,0
220,Gerrell Johnson,MASS,LB,19,55,74,0.5,2,2,0,0,0,0,0
220,DK Kaufman,NCSU,S,40,34,74,1.0,14,4,1,33,33,1,1
220,Jackson Ambush,FAU,LB,33,41,74,2.0,18,2,1,30,30,0,0
220,Greg Rubin,MEM,DB,44,30,74,0.0,0,8,0,0,0,0,4
220,JB Brown,KU,LB,52,22,74,5.0,33,2,0,0,0,0,0
220,Darrian Lewis,AKR,S,43,31,74,0.0,0,6,1,0,0,0,0
220,Gabe Jacas,ILL,LB,39,35,74,8.0,56,0,0,0,0,0,3
220,Tre Pinkney,USM,LB,36,38,74,0.5,1,0,0,0,0,0,0
220,A.J. Haulcy,HOU,S,43,31,74,0.0,0,7,5,72,48,0,0
220,Davaughn Patterson,WAKE,DB,28,46,74,0.0,0,3,1,0,0,0,1
230,Isaac Gifford,NEB,DB,33,40,73,0.0,0,1,0,0,0,0,0
230,Keionte Newson,BALL,LB,35,38,73,0.0,0,4,0,0,0,0,0
230,Evan Slocum,WAKE,DB,38,35,73,0.0,0,2,1,8,8,0,0
230,CJ Brown,BGSU,DB,44,29,73,0.0,0,2,1,0,0,0,0
230,Shay Taylor,OHIO,LB,30,43,73,3.0,27,4,1,30,30,1,2
230,Ahmaad Moses,SMU,S,38,35,73,0.0,0,6,3,97,97,1,1
230,Jamel Johnson,TCU,S,44,29,73,0.0,0,3,0,0,0,0,1
230,Jacob Thomas,JMU,S,35,38,73,0.5,3,3,3,80,43,0,0
238,Kain Medrano,UCLA,LB,50,22,72,1.5,6,4,2,49,38,1,3
238,Ethan Barr,UCF,LB,29,43,72,0.0,0,2,0,0,0,0,0
238,Mason Cobb,USC,LB,31,41,72,0.0,0,3,2,55,55,1,0
238,Lander Barton,UTAH,LB,38,34,72,2.0,36,4,2,104,87,1,1
238,Darius McKenzie,USA,LB,20,52,72,0.5,2,4,0,0,0,0,0
238,Shamari Simmons,ASU,S,39,33,72,0.0,0,4,1,0,0,0,4
238,Randon Fontenette,VAN,LB,41,31,72,3.5,26,7,1,29,29,1,0
238,Caleb Woodson,VT,LB,26,46,72,2.0,14,2,1,7,7,0,0
238,Braden Awls,TOL,S,42,30,72,0.5,4,6,4,81,42,1,0
247,Hunter Wohler,WIS,S,51,20,71,0.0,0,6,0,0,0,0,0
247,Kyle Thornton,WSU,LB,41,30,71,1.0,5,1,1,0,0,0,0
247,Jackson Barrow,TOL,LB,33,38,71,2.0,13,2,0,0,0,0,1
247,Kolbe Fields,LT,LB,37,34,71,1.5,9,1,1,0,0,0,2
247,Terry Moore,DUKE,S,45,26,71,1.0,5,5,4,83,59,0,2
247,Cade Uluave,CAL,LB,30,41,71,0.5,2,2,1,6,6,0,0
247,DeShon Singleton,NEB,DB,45,26,71,0.0,0,3,1,7,7,0,0
247,Tano Letuli,SDSU,LB,37,34,71,1.5,7,0,1,20,20,0,0
247,Isiah Revis,SJSU,DB,44,27,71,1.0,12,5,2,40,40,1,0
247,Taniela Latu,SJSU,LB,31,40,71,1.0,8,2,0,0,0,0,0
247,Triston Newson,MIZ,LB,39,32,71,1.0,18,1,0,0,0,0,1
258,Jacob Dobbs,JMU,LB,30,40,70,3.0,12,0,0,0,0,0,0
258,Craig Woodson,CAL,S,45,25,70,0.0,0,7,2,0,0,0,0
258,Stephen Dix Jr.,ARK,LB,24,46,70,2.0,14,1,0,0,0,0,0
258,John Bullock,NEB,LB,35,35,70,4.0,9,5,1,35,35,1,2
258,Corban Hondru,M-OH,LB,17,53,70,1.5,2,1,3,43,32,0,0
258,Malachi Moore,ALA,S,40,30,70,1.0,3,8,2,72,41,0,2
258,Shyheim Brown,FSU,DB,39,31,70,0.0,0,2,0,0,0,0,0
258,Rayuan Lane III,NAVY,S,47,23,70,0.0,0,4,2,86,86,1,3
258,Tao Johnson,UTAH,S,41,29,70,0.0,0,4,1,0,0,0,1
258,Isaiah Glasker,BYU,LB,42,28,70,3.5,28,4,3,27,21,1,1
258,Bilhal Kone,WMU,CB,45,25,70,0.0,0,8,1,11,11,0,0
269,Trikweze Bridges,FLA,DB,38,31,69,0.0,0,5,2,4,4,0,2
269,Jared Bartlett,CIN,LB,34,35,69,7.5,38,3,0,0,0,0,0
269,Jordan Cobbs,SJSU,LB,36,33,69,2.5,18,1,2,55,55,0,1
269,Andrew Mukuba,TEX,S,41,28,69,0.0,0,6,5,12,9,0,1
269,Shawn Asbury II,IU,DB,28,41,69,1.5,12,4,1,78,78,0,0
269,Parker Hughes,MTSU,LB,28,41,69,0.0,0,0,0,0,0,0,1
269,Harrison Taggart,BYU,LB,34,35,69,1.0,10,3,1,15,15,0,1
269,Kooper Ebel,ISU,LB,32,37,69,1.0,2,0,0,0,0,0,0
269,JJ Johnson,GAST,S,38,31,69,0.0,0,6,0,0,0,0,0
269,Jordan Scruggs,USA,CB,33,36,69,0.0,0,2,1,96,96,0,0
279,Jakeen Harris,UNC,DB,38,30,68,0.0,0,4,0,0,0,0,0
279,Khairi Manns,JMU,DL,28,40,68,9.0,51,2,0,0,0,0,1
279,Bud Clark,TCU,S,44,24,68,0.0,0,3,3,3,3,0,1
279,Seyi Oladipo,BOIS,S,51,17,68,6.5,44,2,0,0,0,0,1
279,Isaiah Cash,SHSU,S,52,16,68,0.5,3,10,2,22,22,0,0
279,Johnathan Baldwin,UNLV,DB,40,28,68,3.5,23,10,3,63,27,0,0
279,Abdul Carter,PSU,EDGE,43,25,68,12.0,89,4,0,0,0,0,2
279,Luke Pirris,NAVY,LB,30,38,68,2.5,13,1,1,0,0,0,1
279,Mason Woods,KENT,LB,26,42,68,0.0,0,1,0,0,0,0,0
279,Arion Carter,TENN,LB,29,39,68,0.0,0,6,1,15,15,0,0
279,Antavious Fish,AKR,LB,20,48,68,1.0,10,1,0,0,0,0,0
279,Jordan Polk,TXST,CB,35,33,68,2.0,23,2,0,0,0,0,4
279,Taye Brown,ARIZ,LB,29,39,68,2.5,13,2,0,0,0,0,1
279,Travor Randle,ULM,S,30,38,68,0.5,1,8,0,0,0,0,0
279,Xe'ree Alexander,UCF,LB,28,40,68,0.0,0,2,0,0,0,0,0
294,Shilo Sanders,COLO,S,45,22,67,1.0,3,2,0,0,0,0,1
294,Jaylen Stinson,DUKE,S,32,35,67,1.5,7,8,0,0,0,0,1
294,Jahdae Barron,TEX,CB,46,21,67,1.0,6,11,5,82,36,0,0
294,Tysheem Johnson,ORE,DB,38,29,67,0.0,0,0,3,3,9,0,0
294,Tyler Grubbs,TULN,LB,40,27,67,3.0,23,1,2,22,22,1,1
294,Juan Powell,CCU,DB,40,27,67,0.0,0,3,0,0,0,0,2
294,Malik Dixon-Williams,CONN,DB,35,32,67,0.0,0,3,3,31,16,0,0
294,Jamon Johnson,UK,LB,39,28,67,3.5,29,0,1,-5,-5,0,1
294,Camby Goff,AFA,DB,37,30,67,0.0,0,3,1,0,0,0,1
294,Zion Washington,BOIS,DB,46,21,67,0.0,0,6,0,0,0,0,2
294,Tre Freeman,DUKE,LB,30,37,67,0.5,2,2,2,15,10,0,1
294,Andreas Keaton,TEM,S,39,28,67,0.0,0,3,1,0,0,0,0
294,Bam Martin-Scott,SC,LB,39,28,67,2.5,20,2,0,0,0,0,2
294,Justin Powe,TROY,S,38,29,67,1.0,1,4,2,0,0,0,0
308,Ruben Hyppolite II,MD,LB,33,33,66,0.0,0,2,1,0,0,0,0
308,Landyn Watson,MRSH,LB,20,46,66,0.0,0,0,1,12,12,0,0
308,Solomon Brown,BUFF,CB,31,35,66,0.0,0,6,1,0,0,0,0
308,Jaishawn Barham,MICH,LB,40,26,66,1.0,14,2,0,0,0,0,0
308,Jordan Turner,MSU,LB,36,30,66,3.0,30,1,2,36,36,0,0
308,Robert Spears-Jennings,OU,DB,43,23,66,2.5,22,1,1,0,0,0,4
308,Marvin Burks Jr.,MIZ,S,34,32,66,0.0,0,2,1,15,15,0,0
308,Ky'won McCray,JVST,DT,22,44,66,1.0,8,4,1,3,3,0,0
308,Christian Alliegro,WIS,LB,44,22,66,3.0,31,1,0,0,0,0,0
308,Sidney Porter,KENN,DB,27,39,66,0.0,0,2,0,0,0,0,0
318,Brendan Harrington,APP,LB,31,34,65,0.0,0,1,0,0,0,0,0
318,Jerrin Thompson,AUB,S,45,20,65,1.0,14,5,2,0,0,0,0
318,Keonta Jenkins,VT,LB,38,27,65,1.0,3,4,1,13,13,0,2
318,Matt Hudson,MEM,LB,25,40,65,1.0,9,0,1,0,0,0,0
318,Drue Watts,NEV,DB,39,26,65,1.0,4,3,1,0,0,0,0
318,Maverick Baranowski,MINN,LB,21,44,65,1.0,9,2,0,0,0,0,0
318,Chris Johnson,SDSU,CB,49,16,65,0.0,0,3,1,42,42,0,3
318,Keyshaun Elliott,ASU,LB,25,40,65,2.0,10,1,1,18,18,0,0
318,Hosea Wheeler,WKU,DL,27,38,65,2.0,10,0,0,0,0,0,1
318,Mario Thompson,ODU,LB,29,36,65,4.0,38,1,0,0,0,0,0
318,Mose Phillips III,VT,S,34,31,65,1.0,2,3,1,33,33,0,1
318,Tevin Tucker,KENT,S,38,27,65,0.0,0,2,0,0,0,0,1
330,Cornell Wheeler,KU,LB,40,24,64,0.0,0,4,1,4,4,0,1
330,Dan Jackson,UGA,S,47,17,64,0.0,0,3,2,13,13,0,1
330,Kendal Daniels,OKST,LB,45,19,64,5.5,45,7,0,0,0,0,0
330,Trey Washington,MISS,S,37,27,64,0.0,0,7,1,0,0,0,1
330,O.J. Burroughs,KU,S,51,13,64,0.0,0,6,1,32,32,0,0
330,Aaron Wofford,WMU,S,35,29,64,0.5,4,4,1,0,0,0,3
330,Shemar James,FLA,LB,34,30,64,2.0,20,3,1,0,0,0,1
330,CJ Taylor,VAN,S,43,21,64,0.0,0,3,2,45,23,0,2
330,VJ Payne,KSU,S,40,24,64,0.0,0,3,2,24,24,0,2
330,Kyle Efford,GT,LB,33,31,64,3.0,16,1,0,0,0,0,0
330,Kaleb Cost,UNC,DB,45,19,64,0.5,2,4,2,84,84,1,0
330,Jamari Bellamy,AFA,DB,44,20,64,0.0,0,4,0,0,0,0,1
330,Genesis Smith,ARIZ,DB,39,25,64,0.0,0,6,3,17,12,0,2
330,Kam Robinson,UVA,LB,37,27,64,5.0,27,1,1,8,8,0,1
330,Kobe Savage,ORE,DB,35,29,64,0.0,0,1,0,0,0,0,0
345,M.J. Griffin,LOU,DB,39,24,63,0.5,1,2,0,0,0,0,0
345,Jamal Morris,HOU,LB,25,38,63,1.0,10,0,0,0,0,0,0
345,Keyshawn Swanson,WKU,DB,39,24,63,0.0,0,2,0,0,0,0,0
345,Charles Rosser,BGSU,LB,29,34,63,6.0,57,0,0,0,0,0,2
345,Jordan Lovett,UK,DB,36,27,63,0.0,0,1,2,0,0,0,0
345,Sam Howard,TULN,LB,34,29,63,2.5,26,1,1,-2,-2,0,0
345,Debo Williams,SC,LB,39,24,63,0.5,2,0,0,0,0,0,0
