RK,NAME,TEAM,CMP,ATT,CMP%,YDS,AVG,LNG,TD,INT,SACK,RTG
448,Demarcus Jones II,NCST,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Ryan O'Keefe,UCF,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Isaiah Williams,ILL,0,0,0.0,0,0.0,0,0,0,1,0.0
448,Ryan Davis,UAB,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Eric Gray,OU,1,2,50.0,0,0.0,0,0,1,0,-50.0
448,Isaac Ross,MASS,0,1,0.0,0,0.0,0,0,0,0,0.0
448,George Johnson III,MASS,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Kaylon Horton,UNT,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Jaylin Noel,ISU,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Jay Woolfolk,UVA,0,2,0.0,0,0.0,0,0,0,0,0.0
448,Zy McDonald,UL,0,0,0.0,0,0.0,0,0,0,1,0.0
448,Chance Black,VT,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Montrell Johnson Jr.,FLA,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Sam Horn,MIZ,0,2,0.0,0,0.0,0,0,0,0,0.0
448,Xavier Hutchinson,ISU,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Tre' Harris,LT,0,1,0.0,0,0.0,0,0,1,0,-200.0
448,Austin McCready,LT,0,2,0.0,0,0.0,0,0,0,0,0.0
448,Dior Scott,HAW,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Walker Eget,SJSU,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Jacob Conover,BYU,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Jensen Jones,AFA,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Mitchell Tomasek,EMU,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Ryan Jankowski,AKR,0,1,0.0,0,0.0,0,0,0,1,0.0
448,Peter Zamora,MRSH,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Colston Loveland,MICH,0,0,0.0,0,0.0,0,0,0,1,0.0
448,Nick Evers,OU,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Jordan Nabors,BAY,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Nasjza Bryant-Lelei,HAW,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Grant DuBose,CLT,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Bryson Daily,ARMY,0,1,0.0,0,0.0,0,0,0,1,0.0
448,Maquel Haywood,NAVY,0,1,0.0,0,0.0,0,0,1,0,-200.0
448,Terrell Vaughn,USU,0,2,0.0,0,0.0,0,0,0,0,0.0
448,Harold Fannin Jr.,BGSU,0,1,0.0,0,0.0,0,0,0,0,0.0
515,Donovan Edwards,MICH,1,1,100.0,-1,-1.0,0,0,0,0,91.6
516,Marcus Major Jr.,OU,1,1,100.0,-2,-2.0,0,0,0,0,83.2
517,Preston Rice,MTSU,1,1,100.0,-3,-3.0,0,0,0,0,74.8
518,Stone Frost,MTSU,1,1,100.0,-4,-4.0,0,0,0,0,66.4
